adminAction,adminActionState,argument_month,caseOriginState,caseOrigin_group,caseSourceState,caseSource_group,certReason_group,chief,complex_consolidated_disagreement,days_from_term_start_to_argument,days_from_term_start_to_decision,decision_month,decision_year,docket_category,had_reargument,is_AdminAction_x_Economic,is_FedCirc_Conflict,is_Govt_vs_Business,is_Individual_vs_Govt,is_State_vs_State,is_late_term_argument,is_late_term_decision,issue,issueArea_name,issue_x_jurisdiction,jurisdiction_group,lawMinor,lawSupp,lawType_group,lcDisagreement,lcDispositionDirection,lcDisposition_group,lc_disagree_direction,naturalCourt,num_dockets_in_case,petitionerState,petitioner_group,respondentState,respondent_group,term,threeJudgeFdc,threeJudge_x_issue,duration_days
105.0,,11,,FedCircCt,,FedCircCt,Important Question,Vinson,0.0,0,55,11,1946,Merits/Other,1,1,0,0,0,0,1,1,80120.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,15 U.S.C. § 79,600.0,Infrequent Fed Statute,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,,Other/Unknown,,US Agency,1946,0.0,Economic Activity_3Judge_0.0,374.0
105.0,,11,,FedCircCt,,FedCircCt,Important Question,Vinson,0.0,0,55,11,1946,Merits/Other,1,1,0,0,0,0,1,1,80120.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,207.0,Const Amendment,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,,Other/Unknown,,US Agency,1946,0.0,Economic Activity_3Judge_0.0,374.0
24.0,,4,9.0,FedDistCt,,FedCircCt,No Reason Given,Vinson,0.0,0,69,12,1946,Merits/Other,1,0,0,0,0,0,1,1,90200.0,Judicial Power,Judicial Power_via_Certiorari,Certiorari,35 U.S.C. § 89,600.0,Infrequent Fed Statute,0.0,2.0,Vacated/Remanded,LC_Agree_Liberal,1301,1,,Other/Unknown,,Other/Unknown,1946,0.0,Judicial Power_3Judge_0.0,228.0
117.0,2.0,2,2.0,FedDistCt,,FedCircCt,Important Question,Vinson,1.0,0,69,12,1946,Merits/Other,1,0,1,0,0,0,0,1,70190.0,Unions,Unions_via_Certiorari,Certiorari,,512.0,Other,1.0,2.0,Affirmed,LC_Disagree_Liberal,1301,1,2.0,Other/Unknown,,Other/Unknown,1946,0.0,Unions_3Judge_0.0,285.0
,,10,21.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,21,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,80030.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,307.0,Fed Statute,0.0,2.0,Reversed,LC_Agree_Liberal,1301,4,,Other/Unknown,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,48.0
,,10,21.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,21,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,80030.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,307.0,Fed Statute,0.0,2.0,Reversed,LC_Agree_Liberal,1301,4,,Other/Unknown,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,48.0
,,10,21.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,21,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,80030.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,307.0,Fed Statute,0.0,2.0,Reversed,LC_Agree_Liberal,1301,4,,Other/Unknown,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,48.0
,,10,21.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,21,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,80030.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,307.0,Fed Statute,0.0,2.0,Reversed,LC_Agree_Liberal,1301,4,,Other/Unknown,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,48.0
,,11,17.0,StateTrialCt,17.0,StateHighCt,Important Question,Vinson,0.0,45,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,10120.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,,214.0,Const Amendment,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,1,,Other/Unknown,17.0,State Govt,1946,0.0,Criminal Procedure_3Judge_0.0,24.0
,,10,6.0,FedDistCt,,FedCircCt,Important Question,Vinson,1.0,14,69,12,1946,Merits/Other,0,0,1,0,1,0,1,1,20130.0,Civil Rights,Civil Rights_via_Certiorari,Certiorari,,,Unknown/Missing,1.0,1.0,Affirmed,LC_Disagree_Conservative,1301,1,,Individual,,US Govt,1946,0.0,Civil Rights_3Judge_0.0,55.0
89.0,,11,35.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,52,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,10430.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,50 U.S.C. § 925,600.0,Infrequent Fed Statute,0.0,2.0,Reversed,LC_Agree_Liberal,1301,1,,US Govt,,Other/Unknown,1946,0.0,Criminal Procedure_3Judge_0.0,17.0
,,11,35.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,1.0,49,69,12,1946,Merits/Other,0,0,1,0,1,0,1,1,10400.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 88,600.0,Infrequent Fed Statute,1.0,1.0,Affirmed,LC_Disagree_Conservative,1301,1,,Individual,,US Govt,1946,0.0,Criminal Procedure_3Judge_0.0,20.0
38.0,,11,,FedCircCt,,FedCircCt,Important Question,Vinson,1.0,52,69,12,1946,Merits/Other,0,1,1,0,0,0,1,1,80320.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,326.0,Fed Statute,1.0,1.0,Reversed,LC_Disagree_Conservative,1301,1,,US Agency,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,17.0
58.0,,10,30.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,17,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,40070.0,Due Process,Due Process_via_Certiorari,Certiorari,40 U.S.C. § 341,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,1,,US Govt,,Other/Unknown,1946,0.0,Due Process_3Judge_0.0,52.0
,,10,18.0,StateTrialCt,18.0,StateHighCt,Not Applicable / Denied,Vinson,0.0,0,76,12,1946,Merits/Other,1,0,0,0,0,0,1,1,80100.0,Economic Activity,Economic Activity_via_Appeal,Appeal,,111.0,Constitution,0.0,2.0,Reversed,LC_Agree_Liberal,1301,1,,Other/Unknown,18.0,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,799.0
4.0,,11,17.0,FedDistCt,,FedCircCt,Important Question,Vinson,1.0,50,76,12,1946,Merits/Other,0,1,1,0,0,0,1,1,80170.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,7 U.S.C. § 601,600.0,Infrequent Fed Statute,1.0,1.0,Reversed,LC_Disagree_Conservative,1301,1,,US Govt,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,26.0
69.0,,11,45.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,45,76,12,1946,Merits/Other,0,0,0,0,0,0,1,1,120010.0,Federal Taxation,Federal Taxation_via_Certiorari,Certiorari,,,Unknown/Missing,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,1,,US Agency,,Other/Unknown,1946,0.0,Federal Taxation_3Judge_0.0,31.0
24.0,,11,35.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,51,83,12,1946,Merits/Other,0,0,0,0,0,0,1,1,30130.0,First Amendment,First Amendment_via_Certiorari,Certiorari,,366.0,Fed Statute,0.0,2.0,Reversed,LC_Agree_Liberal,1301,1,,US Agency,,Other/Unknown,1946,0.0,First Amendment_3Judge_0.0,32.0
24.0,,11,35.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,51,83,12,1946,Merits/Other,0,0,0,0,0,0,1,1,30130.0,First Amendment,First Amendment_via_Certiorari,Certiorari,,366.0,Fed Statute,0.0,2.0,Reversed,LC_Agree_Liberal,1301,1,,US Agency,,Other/Unknown,1946,0.0,First Amendment_3Judge_0.0,32.0
