argument_month,caseOrigin_group,caseSource_group,certReason_group,chief,complex_consolidated_disagreement,days_from_term_start_to_argument,days_from_term_start_to_decision,decision_month,decision_year,docket_category,had_reargument,is_AdminAction_x_Economic,is_FedCirc_Conflict,is_Govt_vs_Business,is_Individual_vs_Govt,is_State_vs_State,is_late_term_argument,is_late_term_decision,issue,issueArea_name,issue_x_jurisdiction,jurisdiction_group,lawSupp,lawType_group,lcDisagreement,lcDispositionDirection,lcDisposition_group,lc_disagree_direction,naturalCourt,num_dockets_in_case,petitioner_group,respondent_group,term,threeJudgeFdc,threeJudge_x_issue,duration_days,lcDisagreement_is_missing,threeJudgeFdc_is_missing
2,Federal,Federal,Substantive Reasons,Vinson,1.0,0,69,12,1946,Merits/Other,1,0,1,0,0,0,0,1,70190.0,Other Non-Constitutional,Unions_via_Certiorari,Discretionary,512.0,Other/Unknown,1.0,2.0,Affirmed,LC_Disagree_Liberal,1301,1,Other/Unknown,Other/Unknown,1946,0.0,Unions_3Judge_0.0,285.0,0,0
10,Federal,Federal,Substantive Reasons,Vinson,0.0,21,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,80030.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,307.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,4,Other/Unknown,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,48.0,0,0
10,Federal,Federal,Substantive Reasons,Vinson,0.0,21,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,80030.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,307.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,4,Other/Unknown,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,48.0,0,0
10,Federal,Federal,Substantive Reasons,Vinson,0.0,21,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,80030.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,307.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,4,Other/Unknown,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,48.0,0,0
10,Federal,Federal,Substantive Reasons,Vinson,0.0,21,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,80030.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,307.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,4,Other/Unknown,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,48.0,0,0
11,State,State,Substantive Reasons,Vinson,0.0,45,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,10120.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Discretionary,214.0,Constitutional,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,1,Other/Unknown,Government,1946,0.0,Criminal Procedure_3Judge_0.0,24.0,0,0
10,Federal,Federal,Substantive Reasons,Vinson,1.0,14,69,12,1946,Merits/Other,0,0,1,0,1,0,1,1,20130.0,Civil Rights,Civil Rights_via_Certiorari,Discretionary,,Other/Unknown,1.0,1.0,Affirmed,LC_Disagree_Conservative,1301,1,Private Entities,Government,1946,0.0,Civil Rights_3Judge_0.0,55.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,0.0,52,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,10430.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Discretionary,600.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,1,Government,Other/Unknown,1946,0.0,Criminal Procedure_3Judge_0.0,17.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,1.0,49,69,12,1946,Merits/Other,0,0,1,0,1,0,1,1,10400.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Discretionary,600.0,Statutory,1.0,1.0,Affirmed,LC_Disagree_Conservative,1301,1,Private Entities,Government,1946,0.0,Criminal Procedure_3Judge_0.0,20.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,1.0,52,69,12,1946,Merits/Other,0,1,1,0,0,0,1,1,80320.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,326.0,Statutory,1.0,1.0,Reversed/Modified,LC_Disagree_Conservative,1301,1,Government,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,17.0,0,0
