Model Name,Train Samples,Validate Samples,Test Samples,Tree Method,Processed Features,Training Duration (s),Train RMSE,Validation RMSE,Test RMSE,Train MAE,Validation MAE,Test MAE,Train R²,Validation R²,Test R²,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_alpha,reg_lambda,Timestamp
scdb_duration_full_with_leakage_logtarget_v1,6196,1431,1907,gpu_hist,86,287.113609,0.03984539168643335,0.07693610338985164,0.12401430700819586,0.016658431013175976,0.02647817810174017,0.031478334316516095,0.9964059126130199,0.9861608672478201,0.9665750352685295,1804,0.024970379481807036,8,0.8,0.8500000000000001,0.054831905518091695,0.35234141975515865,2025-06-08T22:17:31.104614
scdb_duration_leakage_controlled_logtarget_v1,6196,1431,1907,gpu_hist,82,435.52948,0.3501633426646969,0.4820043294557367,0.48894747944552513,0.25914835241445017,0.34928779502754337,0.3476606726910808,0.7224291914647831,0.4568117331937793,0.48042074910459853,1419,0.00952368869854281,10,0.75,0.5,0.1659673853575147,0.5345386719568463,2025-06-08T22:06:35.302419
scdb_duration_basic_logtarget_v1,6196,1431,1907,gpu_hist,27,193.935952,0.38642721897115945,0.4953468528749351,0.504791631789617,0.2810109888783127,0.3559065989328635,0.3585712781677202,0.6619601887530663,0.4263231587540929,0.44620163447054184,1887,0.052077597035460936,9,0.9,0.65,0.011812085138845444,0.18211975790692578,2025-06-08T21:57:43.095059
scdb_duration_full_with_leakage_optuna_v1,6196,1431,1907,gpu_hist,86,209.635839,7.2588401901339,12.27205069654031,17.713803770558926,1.3334599483236333,2.076310523650931,2.925269068381395,0.9882135263092745,0.9676659580837755,0.9404897645908564,1463,0.03893223873456307,10,0.6000000000000001,0.95,0.05701944706176471,0.6669898800723497,2025-06-08T22:13:57.229761
scdb_duration_full_with_leakage_baseline_v1,6196,1431,1907,gpu_hist,86,1.104234,7.437980962550379,14.072951560463594,18.299833596706293,3.361072696663627,4.176484975008428,4.862775777607734,0.9876245914344977,0.9574797214227596,0.9364870491471471,1000,0.05,6,0.8,0.8,0.1,1.0,2025-06-08T22:13:54.807143
scdb_duration_leakage_controlled_optuna_v1,6196,1431,1907,gpu_hist,82,326.593679,28.25185915171585,39.73154086275514,41.047175901152215,20.485938293846136,27.993824053110565,27.974819845470634,0.821456729521108,0.6610805196721219,0.6804531252070607,2387,0.018447895504432727,10,0.8500000000000001,0.7000000000000001,0.1908741010754181,1.5628133489512186,2025-06-08T22:01:04.128923
scdb_duration_leakage_controlled_baseline_v1,6196,1431,1907,gpu_hist,82,1.79152,29.78720153639278,40.94557819054238,41.2898483652859,22.360047594665172,28.559616949906474,28.16059430606964,0.8015236208137765,0.6400520273113548,0.6766636098033316,1000,0.05,6,0.8,0.8,0.1,1.0,2025-06-08T22:01:01.036579
scdb_duration_basic_optuna_v1,6196,1431,1907,gpu_hist,27,297.591153,31.176557922852517,40.84055465972307,42.39305753092313,22.486027925687118,28.99404012065597,29.038101624367307,0.7825768665053735,0.641896159312003,0.6591545581633381,487,0.030082712644428005,10,0.95,0.6000000000000001,0.19684582874788162,7.51700043906161,2025-06-08T21:52:41.211288
scdb_duration_basic_baseline_v1,6196,1431,1907,gpu_hist,27,1.502979,33.82143018689023,41.6673650666207,42.91778732861258,25.33967453529944,29.521377014330763,29.34131483089005,0.7441217583390307,0.6272498808357064,0.6506645525082357,1000,0.05,6,0.8,0.8,0.1,1.0,2025-06-08T21:52:38.484796
