Model,Train RMSE,Train MAE,Val RMSE,Val MAE,Test RMSE,Test MAE,Test R^2,CV RMSE,CV Folds,Training Time (s),Features Used,Model Path
Optuna_full_with_leakage,8.24424272345353,1.5849017604387061,13.217442943658115,2.3437367405281626,17.915530226406503,3.1512384919765175,0.939126630521859,14.59 ± 2.86,5,190.65930128097534,102,../models\scdb_duration_full_with_leakage_optuna_v1\scdb_duration_full_with_leakage_optuna_v1.joblib
Baseline_full_with_leakage,6.433559899523617,2.7049286394753405,15.572263840701735,3.7548718055922365,19.069563154801607,4.500326981767035,0.9310317036465275,N/A,N/A,2.3516955375671387,102,../models\scdb_duration_full_with_leakage_baseline_v1\scdb_duration_full_with_leakage_baseline_v1.joblib
Optuna_leakage_controlled,19.847983422632765,14.041318775839464,39.46741481895237,26.837876259239298,40.84148358261902,27.02723636637199,0.6836476763462228,39.85 ± 2.15,5,521.9392466545105,98,../models\scdb_duration_leakage_controlled_optuna_v1\scdb_duration_leakage_controlled_optuna_v1.joblib
Baseline_leakage_controlled,31.280037982911107,23.418417048962212,40.66492898771796,28.46158801384692,41.22696909200014,27.99940642550408,0.6776476616776932,N/A,N/A,3.125222682952881,98,../models\scdb_duration_leakage_controlled_baseline_v1\scdb_duration_leakage_controlled_baseline_v1.joblib
Optuna_basic,28.33873632503884,20.40810483374697,40.86361249589649,28.4203580913637,42.66322454566531,28.757307071615777,0.6547963624546456,40.67 ± 2.07,5,228.0479748249054,27,../models\scdb_duration_basic_optuna_v1\scdb_duration_basic_optuna_v1.joblib
Baseline_basic,33.82143018689023,25.33967453529944,41.6673650666207,29.521377014330763,42.91778732861258,29.34131483089005,0.6506645525082357,N/A,N/A,2.7552006244659424,27,../models\scdb_duration_basic_baseline_v1\scdb_duration_basic_baseline_v1.joblib
LogTarget_Optuna_leakage_controlled,0.19691292115264042,0.1404528833463752,0.46627528458320183,0.3269165051220147,43.068109144191546,27.003642532296624,0.6482131352145197,0.47 ± 0.02,5,662.4747219085693,98,../models\scdb_duration_leakage_controlled_logtarget_v1\scdb_duration_leakage_controlled_logtarget_v1.joblib
